A;004;20011109 13:29;CDIXON;
D;004;101695;43;20011109 13:29;P;;;;;;
D;004;101695;43;20011109 13:29;P;;;;;;
D;004;101695;43;20011109 13:29;V;;;;;;
B;004;101706;44;20011109 13:29;;;4;MATELOT PL;BELMONT;2280;603.7;M;20010813;20010904;113500;A;V;VACANT LAND;;JB;AV;;7929626;
C;004;101706;44;20011109 13:29;25//879395;
D;004;101706;44;20011109 13:29;P;;;;;;
D;004;101706;44;20011109 13:29;P;;;;;;
D;004;101706;44;20011109 13:29;V;;;;;;
D;004;101706;44;20011109 13:29;V;;;;;;
B;004;101708;45;20011109 13:29;;;3;MASTER ST;BELMONT NORTH;2280;;;20010322;20010515;180000;A;R;RESIDENCE;;JE;AC;;7680531;
C;004;101708;45;20011109 13:29;17/E/14754;
D;004;101708;45;20011109 13:29;P;;;;;;
D;004;101708;45;20011109 13:29;P;;;;;;
D;004;101708;45;20011109 13:29;V;;;;;;
D;004;101708;45;20011109 13:29;V;;;;;;
B;004;101745;46;20011109 13:29;;;25;MATHEW AVE;JEWELLS;2280;559.1;M;20010625;20010829;178000;A;3;;;JF;AC;;7908366;
C;004;101745;46;20011109 13:29;33//248136;
D;004;101745;46;20011109 13:29;P;;;;;;
D;004;101745;46;20011109 13:29;P;;;;;;
D;004;101745;46;20011109 13:29;V;;;;;;
B;004;102350;47;20011109 13:29;;;785;PACIFIC HWY;BELMONT SOUTH;2280;;;20010515;20010629;110000;A;R;RESIDENCE;;JC;AC;;7779026;
C;004;102350;47;20011109 13:29;PT 2/A/1925;
D;004;102350;47;20011109 13:29;P;;;;;;
D;004;102350;47;20011109 13:29;V;;;;;;
B;004;102624;48;20011109 13:29;;;456;PACIFIC HWY;BELMONT;2280;1303;M;20001018;20001130;865000;B;3;WORKSHOP;;TA;IWO;;7579113;
C;004;102624;48;20011109 13:29;PT 1//17243 2//658233;
D;004;102624;48;20011109 13:29;P;;;;;;
D;004;102624;48;20011109 13:29;V;;;;;;
B;004;102625;49;20011109 13:29;;;24;PACIFIC HWY;BELMONT;2280;2731;M;20001018;20001130;865000;B;3;WORKSHOP;;TA;IWO;;7579113;
C;004;102625;49;20011109 13:29;PT 10, PT 9/4/2080 8//17243;
D;004;102625;49;20011109 13:29;P;;;;;;
D;004;102625;49;20011109 13:29;V;;;;;;
B;004;102663;50;20011109 13:29;;8;608;PACIFIC HWY;BELMONT;2280;;;20010628;20010815;70000;;3;COMMERCIAL UN;8;;;;7925328;
C;004;102663;50;20011109 13:29;8//SP 63892;
D;004;102663;50;20011109 13:29;P;;;;;;
D;004;102663;50;20011109 13:29;P;;;;;;
D;004;102663;50;20011109 13:29;V;;;;;;
D;004;102663;50;20011109 13:29;V;;;;;;
