A;008;20010822 12:46;CDIXON;
B;008;207407;48;20010822 12:46;;;70;BOUNDARY RD;MARYLAND;2287;624.7;M;20010226;20010409;145500;A;V;;;AB;;;7582659;
C;008;207407;48;20010822 12:46;203//260715;
D;008;207407;48;20010822 12:46;P;;;;;;
D;008;207407;48;20010822 12:46;V;;;;;;
D;008;207407;48;20010822 12:46;V;;;;;;
B;008;207481;49;20010822 12:46;;;7;BOURKE ST;ADAMSTOWN;2289;;;20010321;20010502;132000;A;R;;;HB;;;7617787;
C;008;207481;49;20010822 12:46;1//304088;
D;008;207481;49;20010822 12:46;P;;;;;;
D;008;207481;49;20010822 12:46;V;;;;;;
D;008;207481;49;20010822 12:46;V;;;;;;
B;008;207516;50;20010822 12:46;;;26;BOURKE ST;ADAMSTOWN;2289;;;20010305;20010406;165000;A;R;;;HB;;;7571987;
C;008;207516;50;20010822 12:46;5/D/10602;
D;008;207516;50;20010822 12:46;P;;;;;;
D;008;207516;50;20010822 12:46;V;;;;;;
B;008;207600;51;20010822 12:46;;;3;BOURKE ST;CARRINGTON;2294;139.1;M;20010315;20010419;89500;A;R;;;DC;;;7569831;
C;008;207600;51;20010822 12:46;5//663961;
D;008;207600;51;20010822 12:46;P;;;;;;
D;008;207600;51;20010822 12:46;V;;;;;;
D;008;207600;51;20010822 12:46;V;;;;;;
B;008;207664;52;20010822 12:46;;;66;BOUSFIELD ST;WALLSEND;2287;;;19990709;19990827;138000;A;3;RESIDENCE;;AD;;;6185843;
C;008;207664;52;20010822 12:46;134//544731;
D;008;207664;52;20010822 12:46;P;;;;;;
D;008;207664;52;20010822 12:46;V;;;;;;
D;008;207664;52;20010822 12:46;V;;;;;;
B;008;207680;53;20010822 12:46;;;40;BOUSFIELD ST;WALLSEND;2287;569.1;M;20010411;20010411;0;A;R;;;AD;;;7627980;
C;008;207680;53;20010822 12:46;1//13403;
D;008;207680;53;20010822 12:46;P;;;;;;
D;008;207680;53;20010822 12:46;V;;;;;;
D;008;207680;53;20010822 12:46;V;;;;;;
B;008;207824;54;20010822 12:46;;;8 A;BRAYE ST;MAYFIELD;2304;;;20010326;20010507;129000;A;R;;;JX;;;7619418;
C;008;207824;54;20010822 12:46;2//151459;
D;008;207824;54;20010822 12:46;P;;;;;;
