A;010;20030619 08:55;PDANN;
B;010;270471;29;20030619 08:55;;;20;TANILBA RD;MALLABULA;2319;607;M;20030122;20030226;105000;A;V;VACANT LAND;;FM;AV;0;9467433;
C;010;270471;29;20030619 08:55;3//547835;
D;010;270471;29;20030619 08:55;P;;;;;;
D;010;270471;29;20030619 08:55;P;;;;;;
D;010;270471;29;20030619 08:55;V;;;;;;
B;010;270501;30;20030619 08:55;;;1;THE PARKWAY;MALLABULA;2319;853.6;M;20030122;20030307;349000;A;R;RESIDENCE;;FM;AC;0;9458759;
C;010;270501;30;20030619 08:55;76//11392;
D;010;270501;30;20030619 08:55;P;;;;;;
D;010;270501;30;20030619 08:55;P;;;;;;
D;010;270501;30;20030619 08:55;V;;;;;;
D;010;270501;30;20030619 08:55;V;;;;;;
B;010;270675;31;20030619 08:55;;;69;ACHILLES ST;NELSON BAY;2315;512.2;M;20020906;20030228;525000;A;R;RESIDENCE;;GN;AC;0;9427465;
C;010;270675;31;20030619 08:55;58//244365;
D;010;270675;31;20030619 08:55;P;;;;;;
D;010;270675;31;20030619 08:55;V;;;;;;
B;010;270896;32;20030619 08:55;;;69;BAGNALL BEACH RD;CORLETTE;2315;868.7;M;20021223;20030303;350600;A;V;VACANT LAND;;FC;AV;0;9475073;
C;010;270896;32;20030619 08:55;836//874084;
D;010;270896;32;20030619 08:55;P;;;;;;
D;010;270896;32;20030619 08:55;V;;;;;;
D;010;270896;32;20030619 08:55;V;;;;;;
B;010;272179;33;20030619 08:55;;2;1;GRAFTON ST;NELSON BAY;2315;;;20030117;20030228;292500;;R;RESIDENCE;2;;XA;0;9449530;
C;010;272179;33;20030619 08:55;2//SP 22673;
D;010;272179;33;20030619 08:55;P;;;;;;
D;010;272179;33;20030619 08:55;P;;;;;;
D;010;272179;33;20030619 08:55;P;;;;;;
D;010;272179;33;20030619 08:55;V;;;;;;
B;010;272285;34;20030619 08:55;;11;1;INTREPID CL;NELSON BAY;2315;;;20030124;20030307;365000;;R;RESIDENCE;11;;XA;0;9482158;
C;010;272285;34;20030619 08:55;11//SP 20904;
D;010;272285;34;20030619 08:55;P;;;;;;
D;010;272285;34;20030619 08:55;P;;;;;;
D;010;272285;34;20030619 08:55;V;;;;;;
D;010;272285;34;20030619 08:55;V;;;;;;
B;010;272838;35;20030619 08:55;;19;34;MAGNUS ST;NELSON BAY;2315;;;20030205;20030319;369000;;3;UNIT;19;;XA;0;9479260;
C;010;272838;35;20030619 08:55;19//SP 19912;
D;010;272838;35;20030619 08:55;P;;;;;;
D;010;272838;35;20030619 08:55;V;;;;;;
D;010;272838;35;20030619 08:55;V;;;;;;
B;010;273143;36;20030619 08:55;;;35;MONTEVIDEO PDE;NELSON BAY;2315;645;M;20030213;20030311;390000;A;R;RESIDENCE;;GN;AC;0;9455648;
C;010;273143;36;20030619 08:55;113//20293;
D;010;273143;36;20030619 08:55;P;;;;;;
D;010;273143;36;20030619 08:55;P;;;;;;
D;010;273143;36;20030619 08:55;V;;;;;;
D;010;273143;36;20030619 08:55;V;;;;;;
B;010;273170;37;20030619 08:55;;;9;MOOROOBA CRES;NELSON BAY;2315;;;20030128;20030311;385000;A;R;RESIDENCE;;GX;AC;0;9468638;
C;010;273170;37;20030619 08:55;7//9165;
D;010;273170;37;20030619 08:55;P;;;;;;
D;010;273170;37;20030619 08:55;V;;;;;;
B;010;273171;38;20030619 08:55;;;11;MOOROOBA CRES;NELSON BAY;2315;;;20030205;20030319;320000;A;R;RESIDENCE;;GX;AC;0;9482116;
C;010;273171;38;20030619 08:55;8//9165;
D;010;273171;38;20030619 08:55;P;;;;;;
D;010;273171;38;20030619 08:55;P;;;;;;
D;010;273171;38;20030619 08:55;V;;;;;;
B;010;274478;39;20030619 08:55;;2;5;TOMAREE ST;NELSON BAY;2315;;;20030131;20030307;324000;;R;RESIDENCE;2;;XA;0;9461505;
C;010;274478;39;20030619 08:55;2//SP 45035;
D;010;274478;39;20030619 08:55;P;;;;;;
D;010;274478;39;20030619 08:55;P;;;;;;
D;010;274478;39;20030619 08:55;V;;;;;;
D;010;274478;39;20030619 08:55;V;;;;;;
B;010;274812;40;20030619 08:55;BAYVIEW TOWERS;10;15;VICTORIA PDE;NELSON BAY;2315;;;20030208;20030307;500000;;R;RESIDENCE;10;;XA;0;9451054;
C;010;274812;40;20030619 08:55;10//SP 5956;
D;010;274812;40;20030619 08:55;P;;;;;;
D;010;274812;40;20030619 08:55;V;;;;;;
B;010;274812;41;20030619 08:55;BAYVIEW TOWERS;14;15;VICTORIA PDE;NELSON BAY;2315;;;20030208;20030307;500000;;R;RESIDENCE;14;;XA;0;9451054;
C;010;274812;41;20030619 08:55;14//SP 5956;
D;010;274812;41;20030619 08:55;P;;;;;;
D;010;274812;41;20030619 08:55;V;;;;;;
B;010;275349;42;20030619 08:55;;;46;YOOLARAI CRES;NELSON BAY;2315;935.8;M;20030121;20030320;355000;A;R;RESIDENCE;;GX;AC;0;9477099;
C;010;275349;42;20030619 08:55;131//9165;
D;010;275349;42;20030619 08:55;P;;;;;;
D;010;275349;42;20030619 08:55;V;;;;;;
D;010;275349;42;20030619 08:55;V;;;;;;
B;010;275554;43;20030619 08:55;;;107;ALTON RD;RAYMOND TERRACE;2324;589;M;20030107;20030307;195000;A;R;RESIDENCE;;JD;AC;0;9452526;
C;010;275554;43;20030619 08:55;289//262169;
D;010;275554;43;20030619 08:55;P;;;;;;
D;010;275554;43;20030619 08:55;V;;;;;;
B;010;275999;44;20030619 08:55;;;17;BENNETT PL;RAYMOND TERRACE;2324;691;M;20030206;20030313;190000;A;R;RESIDENCE;;JD;AC;0;9467120;
C;010;275999;44;20030619 08:55;12//264505;
D;010;275999;44;20030619 08:55;P;;;;;;
D;010;275999;44;20030619 08:55;P;;;;;;
D;010;275999;44;20030619 08:55;V;;;;;;
B;010;276189;45;20030619 08:55;;;3;BRONZEWING CT;RAYMOND TERRACE;2324;525.3;M;20030221;20030318;194000;A;R;RESIDENCE;;JF;AC;0;9477339;
C;010;276189;45;20030619 08:55;1402//788636;
D;010;276189;45;20030619 08:55;P;;;;;;
D;010;276189;45;20030619 08:55;P;;;;;;
D;010;276189;45;20030619 08:55;V;;;;;;
D;010;276189;45;20030619 08:55;V;;;;;;
B;010;276642;46;20030619 08:55;;;1;COONANBARRA ST;RAYMOND TERRACE;2324;713.34;M;20030206;20030313;139950;A;R;RESIDENCE;;JA;AC;0;9472151;
C;010;276642;46;20030619 08:55;17/A/38113;
D;010;276642;46;20030619 08:55;P;;;;;;
D;010;276642;46;20030619 08:55;P;;;;;;
D;010;276642;46;20030619 08:55;V;;;;;;
B;010;277136;47;20030619 08:55;;;19;ELWIN RD;RAYMOND TERRACE;2324;568;M;20030206;20030313;198000;A;R;RESIDENCE;;JF;AC;0;9470963;
C;010;277136;47;20030619 08:55;658//707451;
D;010;277136;47;20030619 08:55;P;;;;;;
D;010;277136;47;20030619 08:55;P;;;;;;
D;010;277136;47;20030619 08:55;V;;;;;;
B;010;277417;48;20030619 08:55;;;18;GORDON REEVE CL;RAYMOND TERRACE;2324;849.1;M;20021125;20030130;196000;A;R;RESIDENCE;;JF;AC;0;9461313;
C;010;277417;48;20030619 08:55;43//852955;
D;010;277417;48;20030619 08:55;P;;;;;;
D;010;277417;48;20030619 08:55;V;;;;;;
B;010;277733;49;20030619 08:55;;;5;HOLT PL;RAYMOND TERRACE;2324;620.6;M;20030122;20030214;227000;A;R;RESIDENCE;;JD;AC;0;9477350;
C;010;277733;49;20030619 08:55;82//264505;
D;010;277733;49;20030619 08:55;P;;;;;;
D;010;277733;49;20030619 08:55;P;;;;;;
D;010;277733;49;20030619 08:55;V;;;;;;
B;010;278546;50;20030619 08:55;;;1;MORGAN CRES;RAYMOND TERRACE;2324;;;20030121;20030228;128000;A;R;RESIDENCE;;JC;AC;0;9424729;
C;010;278546;50;20030619 08:55;6//31817 Road Permit 1582;
D;010;278546;50;20030619 08:55;P;;;;;;
D;010;278546;50;20030619 08:55;V;;;;;;
B;010;278577;51;20030619 08:55;;1;3;MOSMAN PL;RAYMOND TERRACE;2324;;;20030207;20030303;148000;;R;RESIDENCE;1;;XA;0;9455741;
C;010;278577;51;20030619 08:55;1//SP 44117;
D;010;278577;51;20030619 08:55;P;;;;;;
D;010;278577;51;20030619 08:55;V;;;;;;
